name,value,type
EOS,16599.812,crypto
XRP,44178.87,crypto
Lumens,200799.158,crypto
Chainlink,2497.278,crypto
Polkadot,3241.42,crypto
Yearn.finance,2.489,crypto
US Dollar,17180.753,fiat
United Arab Emirates Dirham,63104.906,fiat
Argentine Peso,2919496.459,fiat
Australian Dollar,25276.959,fiat
Bangladeshi Taka,1776869.191,fiat
Bahraini Dinar,6467.316,fiat
Bermudian Dollar,17180.753,fiat
Brazil Real,89992.785,fiat
Canadian Dollar,23584.879,fiat
Swiss Franc,16065.739,fiat
Chilean Peso,14807747.657,fiat
Chinese Yuan,119538.527,fiat
Czech Koruna,395880.635,fiat
Danish Krone,121330.479,fiat
Euro,16298.212,fiat
British Pound Sterling,14016.522,fiat
Hong Kong Dollar,133770.204,fiat
Hungarian Forint,6827974.977,fiat
Indonesian Rupiah,268071293.795,fiat
Israeli New Shekel,58741.854,fiat
Indian Rupee,1416401.06,fiat
Japanese Yen,2346461.172,fiat
South Korean Won,22408341.111,fiat
Kuwaiti Dinar,5270.728,fiat
Sri Lankan Rupee,6318333.667,fiat
Burmese Kyat,36104756.517,fiat
Mexican Peso,339783.758,fiat
Malaysian Ringgit,75655.447,fiat
Nigerian Naira,7624919.871,fiat
Norwegian Krone,171900.309,fiat
New Zealand Dollar,26790.515,fiat
Philippine Peso,951384.197,fiat
Pakistani Rupee,3863206.271,fiat
Polish Zloty,76498.163,fiat
Russian Ruble,1074054.827,fiat
Saudi Riyal,64601.402,fiat
Swedish Krona,177823.373,fiat
Singapore Dollar,23297.101,fiat
Thai Baht,594879.408,fiat
Turkish Lira,320439.947,fiat
New Taiwan Dollar,527598.598,fiat
Ukrainian hryvnia,631746.418,fiat
Venezuelan bolívar fuerte,1720.308,fiat
Vietnamese đồng,408901928.624,fiat
South African Rand,298161.493,fiat
IMF Special Drawing Rights,12972.104,fiat
Silver - Troy Ounce,731.719,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.493,crypto
Litecoin,224.503,crypto
Bitcoin Cash,156.879,crypto
Binance Coin,59.545,crypto
EOS,16598.417,crypto
XRP,44176.57,crypto
Lumens,200821.196,crypto
Chainlink,2498.336,crypto
Polkadot,3240.996,crypto
Yearn.finance,2.489,crypto
US Dollar,17180.689,fiat
United Arab Emirates Dirham,63104.671,fiat
Argentine Peso,2919485.554,fiat
Australian Dollar,25276.865,fiat
Bangladeshi Taka,1776862.554,fiat
Bahraini Dinar,6467.292,fiat
Bermudian Dollar,17180.689,fiat
Brazil Real,89992.449,fiat
Canadian Dollar,23584.791,fiat
Swiss Franc,16065.679,fiat
Chilean Peso,14807692.348,fiat
Chinese Yuan,119538.08,fiat
Czech Koruna,395879.157,fiat
Danish Krone,121330.026,fiat
Euro,16298.151,fiat
British Pound Sterling,14016.47,fiat
Hong Kong Dollar,133769.704,fiat
Hungarian Forint,6827949.474,fiat
Indonesian Rupiah,268070292.507,fiat
Israeli New Shekel,58741.635,fiat
